time,well,iptg,strain,rbs,temp,OD600,fluor,mCherry_high,mCherry_low
0.0,B2,0.01875,MCH10,RBS0.25,37.1,0.023216670379042625,mCherry,831.5,192.16666666666666
0.0,B3,0.01875,MCH10,RBS0.25,37.1,0.0287166740745306,mCherry,797.5,192.16666666666666
0.0,B4,0.01875,MCH75,RBS0.125,37.1,0.01641666702926159,mCherry,398.5,104.16666666666667
0.0,B5,0.01875,MCH75,RBS4,37.1,0.016716664656996727,mCherry,356.5,79.16666666666667
0.0,B9,0.01875,MCH50,RBS2,37.1,0.01871666871011257,mCherry,675.5,159.16666666666666
0.0,B10,0.01875,MCH25,RBS2,37.1,0.016616670414805412,mCherry,533.5,127.16666666666667
0.0,B11,0.01875,MCH50,RBS0.25,37.1,0.016616670414805412,mCherry,429.5,108.16666666666667
0.0,C2,0.01875,MCH25,RBS0.25,37.1,0.02941667102277279,mCherry,520.5,129.16666666666666
0.0,C3,0.01875,MCH10,RBS1,37.1,0.03041667304933071,mCherry,568.5,139.16666666666666
0.0,C4,0.01875,MCH50,RBS2,37.1,0.023216670379042625,mCherry,647.5,157.16666666666666
0.0,C5,0.01875,MCH10,RBS1,37.1,0.02331666462123394,mCherry,603.5,151.16666666666666
0.0,C6,0.01875,MCH10,RBS0.5,37.1,0.025016671046614647,mCherry,450.5,110.16666666666667
0.0,C7,0.01875,MCH75,RBS0.25,37.1,0.024716665968298912,mCherry,319.5,79.16666666666667
0.0,C8,0.01875,MCH25,RBS0.125,37.1,0.02521667443215847,mCherry,452.5,109.16666666666667
0.0,C9,0.01875,MCH50,RBS1,37.1,0.022816671058535576,mCherry,697.5,166.16666666666666
0.0,C10,0.01875,MCH75,RBS0.125,37.1,0.02251666598021984,mCherry,436.5,110.16666666666667
0.0,C11,0.01875,MCH25,RBS4,37.1,0.015916666015982628,mCherry,400.5,107.16666666666667
0.0,D2,0.01875,MCH25,RBS2,37.1,0.022816671058535576,mCherry,504.5,130.16666666666666
0.0,D3,0.01875,MCH75,RBS0.5,37.1,0.0181166660040617,mCherry,280.5,69.16666666666667
0.0,D4,0.01875,MCH50,RBS0.125,37.1,0.01741666905581951,mCherry,400.5,102.16666666666667
0.0,D5,0.01875,MCH10,RBS2,37.1,0.01871666871011257,mCherry,532.5,131.16666666666666
0.0,D7,0.01875,MCH50,RBS0.25,37.1,0.01981666497886181,mCherry,457.5,116.16666666666667
0.0,D8,0.01875,MCH25,RBS0.5,37.1,0.019716670736670494,mCherry,313.5,79.16666666666667
0.0,D9,0.01875,MCH10,RBS0.125,37.1,0.021716667339205742,mCherry,545.5,133.16666666666666
0.0,D10,0.01875,MCH75,RBS2,37.1,0.01851666532456875,mCherry,491.5,113.16666666666667
0.0,D11,0.01875,MCH50,RBS4,37.1,0.017516670748591423,mCherry,521.5,133.16666666666666
0.0,E3,0.01875,MCH50,RBS0.125,37.1,0.03301667235791683,mCherry,416.5,101.16666666666667
0.0,E4,0.01875,MCH50,RBS1,37.1,0.025916671380400658,mCherry,688.5,179.16666666666666
0.0,E6,0.01875,MCH25,RBS1,37.1,0.029316669330000877,mCherry,586.5,140.16666666666666
0.0,E7,0.01875,MCH25,RBS0.125,37.1,0.026716670021414757,mCherry,449.5,108.16666666666667
0.0,E9,0.01875,MCH10,RBS4,37.1,0.022616667672991753,mCherry,415.5,101.16666666666667
0.0,E10,0.01875,MCH50,RBS0.5,37.1,0.02161666564643383,mCherry,394.5,101.16666666666667
0.0,E11,0.01875,MCH25,RBS0.5,37.1,0.01901666633784771,mCherry,335.5,83.16666666666667
0.0,F5,0.01875,MCH75,RBS0.25,37.1,0.02151666395366192,mCherry,343.5,79.16666666666667
0.0,F6,0.01875,MCH75,RBS2,37.1,0.021016670390963554,mCherry,474.5,115.16666666666667
0.0,F7,0.01875,MCH50,RBS4,37.1,0.021716667339205742,mCherry,510.5,122.16666666666667
0.0,F8,0.01875,MCH10,RBS4,37.1,0.021316668018698692,mCherry,381.5,99.16666666666667
0.0,F9,0.01875,MCH10,RBS2,37.1,0.018416671082377434,mCherry,516.5,126.16666666666667
0.0,F10,0.01875,MCH25,RBS0.25,37.1,0.019216669723391533,mCherry,547.5,135.16666666666666
0.0,F11,0.01875,MCH75,RBS1,37.1,0.01871666871011257,mCherry,428.5,107.16666666666667
0.0,G3,0.01875,MCH25,RBS1,37.1,0.029016664251685143,mCherry,576.5,144.16666666666666
0.0,G5,0.01875,MCH75,RBS4,37.1,0.023116668686270714,mCherry,360.5,91.16666666666667
0.0,G6,0.01875,MCH10,RBS0.125,37.1,0.029216667637228966,mCherry,523.5,131.16666666666666
0.0,G7,0.01875,MCH75,RBS1,37.1,0.026716670021414757,mCherry,432.5,111.16666666666667
0.0,G8,0.01875,MCH50,RBS0.5,37.1,0.02211666665971279,mCherry,413.5,103.16666666666667
0.0,G9,0.01875,MCH75,RBS0.5,37.1,0.024316666647791862,mCherry,273.5,71.16666666666667
0.0,G10,0.01875,MCH25,RBS4,37.1,0.0181166660040617,mCherry,386.5,90.16666666666667
0.0,G11,0.01875,MCH10,RBS0.5,37.1,0.019616669043898582,mCherry,481.5,119.16666666666667
912.0,B2,0.01875,MCH10,RBS0.25,37.06666666666666,0.02728334007163842,mCherry,720.9166666666666,169.83333333333334
912.0,B3,0.01875,MCH10,RBS0.25,37.06666666666666,0.03138333496948083,mCherry,741.9166666666666,173.83333333333334
912.0,B4,0.01875,MCH75,RBS0.125,37.06666666666666,0.024383335684736565,mCherry,371.9166666666667,88.83333333333333
912.0,B5,0.01875,MCH75,RBS4,37.06666666666666,0.024283333991964653,mCherry,370.9166666666667,87.83333333333333
912.0,B9,0.01875,MCH50,RBS2,37.06666666666666,0.0262833305944999,mCherry,604.9166666666666,150.83333333333334
912.0,B10,0.01875,MCH25,RBS2,37.06666666666666,0.0262833305944999,mCherry,514.9166666666666,122.83333333333333
912.0,B11,0.01875,MCH50,RBS0.25,37.06666666666666,0.02538333026071389,mCherry,411.9166666666667,97.83333333333333
912.0,C2,0.01875,MCH25,RBS0.25,37.06666666666666,0.031983330224951104,mCherry,476.9166666666667,120.83333333333333
912.0,C3,0.01875,MCH10,RBS1,37.06666666666666,0.037983327483137444,mCherry,572.9166666666666,139.83333333333334
912.0,C4,0.01875,MCH50,RBS2,37.06666666666666,0.029583334301908806,mCherry,606.9166666666666,154.83333333333334
912.0,C5,0.01875,MCH10,RBS1,37.06666666666666,0.03168334004779656,mCherry,575.9166666666666,139.83333333333334
912.0,C6,0.01875,MCH10,RBS0.5,37.06666666666666,0.03138333496948083,mCherry,436.9166666666667,104.83333333333333
912.0,C7,0.01875,MCH75,RBS0.25,37.06666666666666,0.02918332753082116,mCherry,298.9166666666667,69.83333333333333
912.0,C8,0.01875,MCH25,RBS0.125,37.06666666666666,0.030383332942922905,mCherry,407.9166666666667,101.83333333333333
912.0,C9,0.01875,MCH50,RBS1,37.06666666666666,0.030383332942922905,mCherry,658.9166666666666,157.83333333333334
912.0,C10,0.01875,MCH75,RBS0.125,37.06666666666666,0.030183329557379082,mCherry,394.9166666666667,96.83333333333333
912.0,C11,0.01875,MCH25,RBS4,37.06666666666666,0.024683333312471703,mCherry,385.9166666666667,95.83333333333333
912.0,D2,0.01875,MCH25,RBS2,37.06666666666666,0.034683331226309136,mCherry,514.9166666666666,129.83333333333334
912.0,D3,0.01875,MCH75,RBS0.5,37.06666666666666,0.023083336030443505,mCherry,252.91666666666666,61.833333333333336
912.0,D4,0.01875,MCH50,RBS0.125,37.06666666666666,0.025183334325750664,mCherry,376.9166666666667,93.83333333333333
912.0,D5,0.01875,MCH10,RBS2,37.06666666666666,0.026583335672815636,mCherry,519.9166666666666,131.83333333333334
912.0,D7,0.01875,MCH50,RBS0.25,37.06666666666666,0.026383332287271813,mCherry,425.9166666666667,105.83333333333333
912.0,D8,0.01875,MCH25,RBS0.5,37.06666666666666,0.02588333127399285,mCherry,302.9166666666667,74.83333333333333
912.0,D9,0.01875,MCH10,RBS0.125,37.06666666666666,0.029383330916364983,mCherry,483.9166666666667,118.83333333333333
912.0,D10,0.01875,MCH75,RBS2,37.06666666666666,0.02538333026071389,mCherry,463.9166666666667,114.83333333333333
912.0,D11,0.01875,MCH50,RBS4,37.06666666666666,0.025183334325750664,mCherry,491.9166666666667,124.83333333333333
912.0,E3,0.01875,MCH50,RBS0.125,37.06666666666666,0.03998333153625329,mCherry,390.9166666666667,94.83333333333333
912.0,E4,0.01875,MCH50,RBS1,37.06666666666666,0.03248333868881066,mCherry,636.9166666666666,157.83333333333334
912.0,E6,0.01875,MCH25,RBS1,37.06666666666666,0.03388333258529504,mCherry,523.9166666666666,127.83333333333333
912.0,E7,0.01875,MCH25,RBS0.125,37.06666666666666,0.03328333732982476,mCherry,409.9166666666667,102.83333333333333
912.0,E9,0.01875,MCH10,RBS4,37.06666666666666,0.03308333394428094,mCherry,434.9166666666667,102.83333333333333
912.0,E10,0.01875,MCH50,RBS0.5,37.06666666666666,0.028483330582578972,mCherry,364.9166666666667,89.83333333333333
912.0,E11,0.01875,MCH25,RBS0.5,37.06666666666666,0.02538333026071389,mCherry,304.9166666666667,70.83333333333333
912.0,F5,0.01875,MCH75,RBS0.25,37.06666666666666,0.02888333735366662,mCherry,290.9166666666667,71.83333333333333
912.0,F6,0.01875,MCH75,RBS2,37.06666666666666,0.02978333768745263,mCherry,453.9166666666667,115.83333333333333
912.0,F7,0.01875,MCH50,RBS4,37.06666666666666,0.026583335672815636,mCherry,506.9166666666667,125.83333333333333
912.0,F8,0.01875,MCH10,RBS4,37.06666666666666,0.02988333938022454,mCherry,378.9166666666667,104.83333333333333
912.0,F9,0.01875,MCH10,RBS2,37.06666666666666,0.02928332922359307,mCherry,529.9166666666666,126.83333333333333
912.0,F10,0.01875,MCH25,RBS0.25,37.06666666666666,0.026583335672815636,mCherry,493.9166666666667,126.83333333333333
912.0,F11,0.01875,MCH75,RBS1,37.06666666666666,0.0262833305944999,mCherry,375.9166666666667,104.83333333333333
912.0,G3,0.01875,MCH25,RBS1,37.06666666666666,0.033683329199751214,mCherry,545.9166666666666,130.83333333333334
912.0,G5,0.01875,MCH75,RBS4,37.06666666666666,0.029483332609136895,mCherry,366.9166666666667,90.83333333333333
912.0,G6,0.01875,MCH10,RBS0.125,37.06666666666666,0.037783338998754815,mCherry,496.9166666666667,126.83333333333333
912.0,G7,0.01875,MCH75,RBS1,37.06666666666666,0.03088332650562127,mCherry,400.9166666666667,100.83333333333333
912.0,G8,0.01875,MCH50,RBS0.5,37.06666666666666,0.02758333024879296,mCherry,381.9166666666667,95.83333333333333
912.0,G9,0.01875,MCH75,RBS0.5,37.06666666666666,0.03148333666225274,mCherry,259.9166666666667,63.833333333333336
912.0,G10,0.01875,MCH25,RBS4,37.06666666666666,0.029583334301908806,mCherry,380.9166666666667,92.83333333333333
912.0,G11,0.01875,MCH10,RBS0.5,37.06666666666666,0.026783331607778862,mCherry,434.9166666666667,104.83333333333333
1825.0,B2,0.01875,MCH10,RBS0.25,37.1,0.03285000597437222,mCherry,689.0833333333334,161.91666666666666
1825.0,B3,0.01875,MCH10,RBS0.25,37.1,0.036649995793898896,mCherry,697.0833333333334,161.91666666666666
1825.0,B4,0.01875,MCH75,RBS0.125,37.1,0.03304999445875485,mCherry,374.0833333333333,83.91666666666667
1825.0,B5,0.01875,MCH75,RBS4,37.1,0.032249995817740754,mCherry,355.0833333333333,78.91666666666667
1825.0,B9,0.01875,MCH50,RBS2,37.1,0.03384999309976895,mCherry,594.0833333333334,138.91666666666666
1825.0,B10,0.01875,MCH25,RBS2,37.1,0.0342499998708566,mCherry,487.0833333333333,115.91666666666667
1825.0,B11,0.01875,MCH50,RBS0.25,37.1,0.03525000189741452,mCherry,398.0833333333333,92.91666666666667
1825.0,C2,0.01875,MCH25,RBS0.25,37.1,0.040049993743499115,mCherry,479.0833333333333,111.91666666666667
1825.0,C3,0.01875,MCH10,RBS1,37.1,0.044850000490744904,mCherry,531.0833333333334,127.91666666666667
1825.0,C4,0.01875,MCH50,RBS2,37.1,0.03854999815424283,mCherry,592.0833333333334,145.91666666666666
1825.0,C5,0.01875,MCH10,RBS1,37.1,0.04034999882181485,mCherry,528.0833333333334,131.91666666666666
1825.0,C6,0.01875,MCH10,RBS0.5,37.1,0.03864999984701474,mCherry,417.0833333333333,103.91666666666667
1825.0,C7,0.01875,MCH75,RBS0.25,37.1,0.036549994101126984,mCherry,286.0833333333333,67.91666666666667
1825.0,C8,0.01875,MCH25,RBS0.125,37.1,0.03864999984701474,mCherry,401.0833333333333,92.91666666666667
1825.0,C9,0.01875,MCH50,RBS1,37.1,0.03695000087221463,mCherry,620.0833333333334,149.91666666666666
1825.0,C10,0.01875,MCH75,RBS0.125,37.1,0.03674999748667081,mCherry,377.0833333333333,90.91666666666667
1825.0,C11,0.01875,MCH25,RBS4,37.1,0.03214999412496884,mCherry,360.0833333333333,88.91666666666667
1825.0,D2,0.01875,MCH25,RBS2,37.1,0.043150001515944794,mCherry,513.0833333333334,116.91666666666667
1825.0,D3,0.01875,MCH75,RBS0.5,37.1,0.03175000225504239,mCherry,248.08333333333334,56.916666666666664
1825.0,D4,0.01875,MCH50,RBS0.125,37.1,0.03674999748667081,mCherry,369.0833333333333,91.91666666666667
1825.0,D5,0.01875,MCH10,RBS2,37.1,0.03535000359018643,mCherry,490.0833333333333,118.91666666666667
1825.0,D7,0.01875,MCH50,RBS0.25,37.1,0.034949996819098786,mCherry,400.0833333333333,97.91666666666667
1825.0,D8,0.01875,MCH25,RBS0.5,37.1,0.03435000156362851,mCherry,280.0833333333333,67.91666666666667
1825.0,D9,0.01875,MCH10,RBS0.125,37.1,0.03875000153978665,mCherry,475.0833333333333,112.91666666666667
1825.0,D10,0.01875,MCH75,RBS2,37.1,0.03334999953707059,mCherry,435.0833333333333,108.91666666666667
1825.0,D11,0.01875,MCH50,RBS4,37.1,0.033149996151526764,mCherry,468.0833333333333,121.91666666666667
1825.0,E3,0.01875,MCH50,RBS0.125,37.1,0.047449999799331025,mCherry,371.0833333333333,90.91666666666667
1825.0,E4,0.01875,MCH50,RBS1,37.1,0.040650003900130585,mCherry,607.0833333333334,150.91666666666666
1825.0,E6,0.01875,MCH25,RBS1,37.1,0.04214999948938687,mCherry,509.0833333333333,121.91666666666667
1825.0,E7,0.01875,MCH25,RBS0.125,37.1,0.04294999813040097,mCherry,401.0833333333333,93.91666666666667
1825.0,E9,0.01875,MCH10,RBS4,37.1,0.04104999577005704,mCherry,402.0833333333333,98.91666666666667
1825.0,E10,0.01875,MCH50,RBS0.5,37.1,0.03455000494917233,mCherry,380.0833333333333,92.91666666666667
1825.0,E11,0.01875,MCH25,RBS0.5,37.1,0.033750006308158234,mCherry,287.0833333333333,74.91666666666667
1825.0,F5,0.01875,MCH75,RBS0.25,37.1,0.040650003900130585,mCherry,269.0833333333333,67.91666666666667
1825.0,F6,0.01875,MCH75,RBS2,37.1,0.0399500069518884,mCherry,446.0833333333333,104.91666666666667
1825.0,F7,0.01875,MCH50,RBS4,37.1,0.03594999884565671,mCherry,486.0833333333333,122.91666666666667
1825.0,F8,0.01875,MCH10,RBS4,37.1,0.041450002541144684,mCherry,380.0833333333333,93.91666666666667
1825.0,F9,0.01875,MCH10,RBS2,37.1,0.03944999848802884,mCherry,488.0833333333333,116.91666666666667
1825.0,F10,0.01875,MCH25,RBS0.25,37.1,0.035450005282958344,mCherry,452.0833333333333,113.91666666666667
1825.0,F11,0.01875,MCH75,RBS1,37.1,0.03564999376734097,mCherry,370.0833333333333,89.91666666666667
1825.0,G3,0.01875,MCH25,RBS1,37.1,0.04354999338587125,mCherry,525.0833333333334,126.91666666666667
1825.0,G5,0.01875,MCH75,RBS4,37.1,0.036649995793898896,mCherry,335.0833333333333,87.91666666666667
1825.0,G6,0.01875,MCH10,RBS0.125,37.1,0.04675000285108884,mCherry,475.0833333333333,118.91666666666667
1825.0,G7,0.01875,MCH75,RBS1,37.1,0.04024999712904294,mCherry,377.0833333333333,94.91666666666667
1825.0,G8,0.01875,MCH50,RBS0.5,37.1,0.034949996819098786,mCherry,371.0833333333333,88.91666666666667
1825.0,G9,0.01875,MCH75,RBS0.5,37.1,0.03844999646147092,mCherry,233.08333333333334,63.916666666666664
1825.0,G10,0.01875,MCH25,RBS4,37.1,0.038249993075927094,mCherry,361.0833333333333,88.91666666666667
1825.0,G11,0.01875,MCH10,RBS0.5,37.1,0.03515000020464261,mCherry,406.0833333333333,103.91666666666667
2737.0,B2,0.01875,MCH10,RBS0.25,37.166666666666664,0.05065833404660225,mCherry,681.0833333333334,155.66666666666666
2737.0,B3,0.01875,MCH10,RBS0.25,37.166666666666664,0.05245833471417427,mCherry,703.0833333333334,156.66666666666666
2737.0,B4,0.01875,MCH75,RBS0.125,37.166666666666664,0.051858339458703995,mCherry,361.0833333333333,83.66666666666667
2737.0,B5,0.01875,MCH75,RBS4,37.166666666666664,0.04995833709836006,mCherry,356.0833333333333,78.66666666666667
2737.0,B9,0.01875,MCH50,RBS2,37.166666666666664,0.05145833268761635,mCherry,570.0833333333334,140.66666666666666
2737.0,B10,0.01875,MCH25,RBS2,37.166666666666664,0.050958339124917984,mCherry,496.0833333333333,119.66666666666667
2737.0,B11,0.01875,MCH50,RBS0.25,37.166666666666664,0.05455834046006203,mCherry,383.0833333333333,96.66666666666667
2737.0,C2,0.01875,MCH25,RBS0.25,37.166666666666664,0.05855833366513252,mCherry,476.0833333333333,112.66666666666667
2737.0,C3,0.01875,MCH10,RBS1,37.166666666666664,0.06195833161473274,mCherry,547.0833333333334,128.66666666666666
2737.0,C4,0.01875,MCH50,RBS2,37.166666666666664,0.055558327585458755,mCherry,594.0833333333334,142.66666666666666
2737.0,C5,0.01875,MCH10,RBS1,37.166666666666664,0.05795833840966225,mCherry,555.0833333333334,128.66666666666666
2737.0,C6,0.01875,MCH10,RBS0.5,37.166666666666664,0.053658340126276016,mCherry,414.0833333333333,98.66666666666667
2737.0,C7,0.01875,MCH75,RBS0.25,37.166666666666664,0.05245833471417427,mCherry,296.0833333333333,65.66666666666667
2737.0,C8,0.01875,MCH25,RBS0.125,37.166666666666664,0.057858336716890335,mCherry,398.0833333333333,94.66666666666667
2737.0,C9,0.01875,MCH50,RBS1,37.166666666666664,0.0551583357155323,mCherry,621.0833333333334,148.66666666666666
2737.0,C10,0.01875,MCH75,RBS0.125,37.166666666666664,0.05235833302140236,mCherry,381.0833333333333,93.66666666666667
2737.0,C11,0.01875,MCH25,RBS4,37.166666666666664,0.048758331686258316,mCherry,364.0833333333333,90.66666666666667
2737.0,D2,0.01875,MCH25,RBS2,37.166666666666664,0.05715833976864815,mCherry,516.0833333333334,131.66666666666666
2737.0,D3,0.01875,MCH75,RBS0.5,37.166666666666664,0.04565833881497383,mCherry,251.08333333333334,55.666666666666664
2737.0,D4,0.01875,MCH50,RBS0.125,37.166666666666664,0.052958328276872635,mCherry,359.0833333333333,88.66666666666667
2737.0,D5,0.01875,MCH10,RBS2,37.166666666666664,0.050158340483903885,mCherry,507.0833333333333,122.66666666666667
2737.0,D7,0.01875,MCH50,RBS0.25,37.166666666666664,0.050358328968286514,mCherry,402.0833333333333,97.66666666666667
2737.0,D8,0.01875,MCH25,RBS0.5,37.166666666666664,0.04985833540558815,mCherry,300.0833333333333,71.66666666666667
2737.0,D9,0.01875,MCH10,RBS0.125,37.166666666666664,0.05495833232998848,mCherry,461.0833333333333,110.66666666666667
2737.0,D10,0.01875,MCH75,RBS2,37.166666666666664,0.048758331686258316,mCherry,435.0833333333333,104.66666666666667
2737.0,D11,0.01875,MCH50,RBS4,37.166666666666664,0.04855832830071449,mCherry,479.0833333333333,115.66666666666667
2737.0,E3,0.01875,MCH50,RBS0.125,37.166666666666664,0.06825833395123482,mCherry,382.0833333333333,92.66666666666667
2737.0,E4,0.01875,MCH50,RBS1,37.166666666666664,0.05765833333134651,mCherry,651.0833333333334,148.66666666666666
2737.0,E6,0.01875,MCH25,RBS1,37.166666666666664,0.05975833907723427,mCherry,507.0833333333333,120.66666666666667
2737.0,E7,0.01875,MCH25,RBS0.125,37.166666666666664,0.062058333307504654,mCherry,395.0833333333333,94.66666666666667
2737.0,E9,0.01875,MCH10,RBS4,37.166666666666664,0.05825832858681679,mCherry,380.0833333333333,99.66666666666667
2737.0,E10,0.01875,MCH50,RBS0.5,37.166666666666664,0.04625833407044411,mCherry,374.0833333333333,93.66666666666667
2737.0,E11,0.01875,MCH25,RBS0.5,37.166666666666664,0.051858339458703995,mCherry,307.0833333333333,72.66666666666667
2737.0,F5,0.01875,MCH75,RBS0.25,37.166666666666664,0.05395833030343056,mCherry,284.0833333333333,70.66666666666667
2737.0,F6,0.01875,MCH75,RBS2,37.166666666666664,0.055258337408304214,mCherry,445.0833333333333,112.66666666666667
2737.0,F7,0.01875,MCH50,RBS4,37.166666666666664,0.04935832694172859,mCherry,489.0833333333333,116.66666666666667
2737.0,F8,0.01875,MCH10,RBS4,37.166666666666664,0.05235833302140236,mCherry,385.0833333333333,96.66666666666667
2737.0,F9,0.01875,MCH10,RBS2,37.166666666666664,0.052758339792490005,mCherry,512.0833333333334,116.66666666666667
2737.0,F10,0.01875,MCH25,RBS0.25,37.166666666666664,0.048658329993486404,mCherry,477.0833333333333,114.66666666666667
2737.0,F11,0.01875,MCH75,RBS1,37.166666666666664,0.05285832658410072,mCherry,363.0833333333333,90.66666666666667
2737.0,G3,0.01875,MCH25,RBS1,37.166666666666664,0.06295833364129066,mCherry,510.0833333333333,133.66666666666666
2737.0,G5,0.01875,MCH75,RBS4,37.166666666666664,0.05285832658410072,mCherry,343.0833333333333,83.66666666666667
2737.0,G6,0.01875,MCH10,RBS0.125,37.166666666666664,0.06545833125710487,mCherry,477.0833333333333,119.66666666666667
2737.0,G7,0.01875,MCH75,RBS1,37.166666666666664,0.0583583302795887,mCherry,373.0833333333333,94.66666666666667
2737.0,G8,0.01875,MCH50,RBS0.5,37.166666666666664,0.050358328968286514,mCherry,386.0833333333333,96.66666666666667
2737.0,G9,0.01875,MCH75,RBS0.5,37.166666666666664,0.055558327585458755,mCherry,248.08333333333334,62.666666666666664
2737.0,G10,0.01875,MCH25,RBS4,37.166666666666664,0.056958336383104324,mCherry,358.0833333333333,88.66666666666667
2737.0,G11,0.01875,MCH10,RBS0.5,37.166666666666664,0.051258329302072525,mCherry,421.0833333333333,99.66666666666667
