gfp_rbs_foldx,codon,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome
1.0,0.1,0.5111111111111112,73.33333333333333,180.66666666666666,0.865432098765432,181.66666666666666,10.0,48.333333333333336,4897.0,0.17444444444444446
1.0,0.5,0.4377777777777778,84.33333333333333,210.33333333333334,0.8755555555555555,168.0,10.0,48.333333333333336,4933.0,0.1811111111111111
1.0,0.7,0.4888888888888889,76.66666666666667,205.0,0.8681481481481481,178.0,10.0,47.666666666666664,4970.666666666667,0.1811111111111111
1.0,0.9,0.5266666666666666,71.0,211.66666666666666,0.8703703703703703,175.0,10.0,47.333333333333336,4998.666666666667,0.17222222222222222
2.5,0.1,0.44666666666666666,83.0,457.3333333333333,0.8701234567901235,175.33333333333334,9.333333333333334,47.333333333333336,4687.0,0.14777777777777779
2.5,0.5,0.4955555555555555,75.66666666666667,500.6666666666667,0.8713580246913579,173.66666666666666,9.666666666666666,48.0,4822.0,0.19111111111111112
2.5,0.7,0.48222222222222216,77.66666666666667,523.3333333333334,0.8676543209876543,178.66666666666666,10.0,48.0,4878.0,0.1688888888888889
2.5,0.9,0.5266666666666666,71.0,508.6666666666667,0.8728395061728395,171.66666666666666,10.0,47.0,4972.666666666667,0.17
5.0,0.1,0.45111111111111113,82.33333333333333,831.0,0.8896296296296297,149.0,8.666666666666666,47.333333333333336,4403.666666666667,0.16444444444444445
5.0,0.5,0.45555555555555555,81.66666666666667,910.0,0.8738271604938272,170.33333333333334,9.333333333333334,48.333333333333336,4638.333333333333,0.16111111111111112
5.0,0.7,0.4977777777777778,75.33333333333333,978.3333333333334,0.8491358024691358,203.66666666666666,10.0,47.333333333333336,4762.0,0.15
5.0,0.9,0.4444444444444445,83.33333333333333,1038.6666666666667,0.8617283950617284,186.66666666666666,9.666666666666666,49.0,4924.0,0.17777777777777778
7.5,0.1,0.48,78.0,1108.0,0.8822222222222222,159.0,8.333333333333334,49.666666666666664,4194.0,0.14111111111111113
7.5,0.5,0.44666666666666666,83.0,1354.0,0.8703703703703703,175.0,9.666666666666666,48.666666666666664,4437.666666666667,0.14111111111111113
7.5,0.7,0.48444444444444446,77.33333333333333,1413.3333333333333,0.8767901234567902,166.33333333333334,9.0,47.333333333333336,4650.333333333333,0.17
7.5,0.9,0.4977777777777778,75.33333333333333,1523.6666666666667,0.8644444444444445,183.0,9.666666666666666,48.333333333333336,4862.333333333333,0.15
10.0,0.1,0.47333333333333333,79.0,1417.0,0.8891358024691357,149.66666666666666,8.666666666666666,48.666666666666664,3949.3333333333335,0.12111111111111111
10.0,0.5,0.4622222222222222,80.66666666666667,1744.3333333333333,0.874320987654321,169.66666666666666,8.666666666666666,48.0,4275.0,0.14555555555555555
10.0,0.7,0.4644444444444445,80.33333333333333,1876.6666666666667,0.8807407407407407,161.0,9.666666666666666,48.666666666666664,4522.333333333333,0.16444444444444445
10.0,0.9,0.4622222222222222,80.66666666666667,1973.0,0.8419753086419753,213.33333333333334,9.333333333333334,48.333333333333336,4814.666666666667,0.16555555555555554
25.0,0.1,0.45555555555555555,81.66666666666667,2416.0,0.9204938271604939,107.33333333333333,8.666666666666666,49.333333333333336,3161.3333333333335,0.1
25.0,0.5,0.4666666666666667,80.0,3354.0,0.8834567901234568,157.33333333333334,9.333333333333334,49.0,3560.0,0.12111111111111111
25.0,0.7,0.4777777777777778,78.33333333333333,3837.6666666666665,0.8637037037037038,184.0,8.666666666666666,49.666666666666664,3993.3333333333335,0.14666666666666667
25.0,0.9,0.45555555555555555,81.66666666666667,4503.666666666667,0.8276543209876542,232.66666666666666,9.666666666666666,48.333333333333336,4533.0,0.13555555555555554
50.0,0.1,0.4377777777777778,84.33333333333333,3273.0,0.9251851851851852,101.0,6.333333333333333,49.333333333333336,2450.3333333333335,0.08
50.0,0.5,0.43111111111111117,85.33333333333333,4875.666666666667,0.9101234567901235,121.33333333333333,8.666666666666666,50.0,2840.6666666666665,0.09333333333333334
50.0,0.7,0.45555555555555555,81.66666666666667,5977.333333333333,0.8651851851851852,182.0,8.0,49.333333333333336,3369.3333333333335,0.11333333333333333
50.0,0.9,0.4955555555555555,75.66666666666667,7605.333333333333,0.8204938271604939,242.33333333333334,9.333333333333334,48.666666666666664,4180.666666666667,0.15555555555555556
75.0,0.1,0.44,84.0,3705.0,0.9476543209876542,70.66666666666667,6.333333333333333,49.666666666666664,2091.0,0.07111111111111111
75.0,0.5,0.46888888888888886,79.66666666666667,5722.0,0.9081481481481481,124.0,8.333333333333334,49.0,2429.0,0.07
75.0,0.7,0.4955555555555555,75.66666666666667,7308.0,0.851358024691358,200.66666666666666,8.0,49.333333333333336,2964.6666666666665,0.0911111111111111
75.0,0.9,0.4977777777777778,75.33333333333333,9978.333333333334,0.7819753086419754,294.3333333333333,7.0,48.666666666666664,3889.6666666666665,0.16333333333333333
100.0,0.1,0.4644444444444445,80.33333333333333,4020.6666666666665,0.9439506172839506,75.66666666666667,5.333333333333333,49.666666666666664,1814.0,0.057777777777777775
100.0,0.5,0.45555555555555555,81.66666666666667,6355.0,0.9158024691358024,113.66666666666667,9.0,49.666666666666664,2103.6666666666665,0.06666666666666667
100.0,0.7,0.43111111111111117,85.33333333333333,8252.0,0.8612345679012346,187.33333333333334,6.333333333333333,49.666666666666664,2667.3333333333335,0.0911111111111111
100.0,0.9,0.5022222222222222,74.66666666666667,11838.666666666666,0.7750617283950617,303.6666666666667,9.666666666666666,49.333333333333336,3643.3333333333335,0.12222222222222222
250.0,0.1,0.40444444444444444,89.33333333333333,4767.666666666667,0.9651851851851851,47.0,4.333333333333333,49.333333333333336,1143.3333333333333,0.02777777777777778
250.0,0.5,0.46,81.0,7885.666666666667,0.917037037037037,112.0,6.666666666666667,49.0,1249.0,0.04111111111111111
250.0,0.7,0.5266666666666666,71.0,10837.666666666666,0.8758024691358024,167.66666666666666,6.666666666666667,49.666666666666664,1780.3333333333333,0.06666666666666667
250.0,0.9,0.5355555555555556,69.66666666666667,17931.333333333332,0.7535802469135803,332.6666666666667,7.666666666666667,48.333333333333336,2739.6666666666665,0.0911111111111111
